Género del usuario,Vistas (%),Duración promedio de vistas,Porcentaje promedio reproducido (%),Tiempo de reproducción (horas) (%)
Femenino,40.17,0:03:23,22.44,28.94
Masculino,59.83,0:03:51,18.44,71.06
