Edad del usuario,Vistas (%),Duración promedio de vistas,Porcentaje promedio reproducido (%),Tiempo de reproducción (horas) (%)
Entre 25 y 34 años,15.24,0:04:09,21.18,12.66
Entre 35 y 44 años,18.51,0:05:18,22.27,24.21
Entre 45 y 54 años,15.4,0:05:20,24.86,21.5
Entre 55 y 64 años,20.1,0:04:00,20.94,20.79
65 años y más,30.75,0:02:37,20.86,20.84
