Ubicación geográfica,Vistas,Tiempo de reproducción (horas),Duración promedio de vistas
Total,6702,345.2449,0:03:28
CL,4405,256.5898,0:03:48
ES,324,1.9537,0:00:43
US,172,10.5456,0:03:58
AR,154,3.7134,0:02:33
VE,143,8.1381,0:03:24
PE,72,2.2322,0:02:13
MX,41,4.3656,0:06:23
CO,17,0.5056,0:01:47
EC,10,0.8867,0:05:19
