Ciudades,Nombre de la ciudad,Vistas,Tiempo de reproducción (horas),Duración promedio de vistas
Total,,6702,345.2449,0:03:28
0x9662c5410425af2f:0x8475d53c400f0931,"Santiago, Región Metropolitana, Chile",2015,106.8697,0:03:33
0x9669b5cdd2bbc63b:0x44cb37b752212698,"Concepción, Bío Bío, Chile",81,1.4963,0:01:40
0x9689de84ead41255:0x8e5fde76df3d413f,"Viña del Mar, Valparaíso, Chile",26,1.3402,0:03:05
0x9105c5f619ee3ec7:0x14206cb9cc452e4a,"Lima, Perú",19,0.0523,0:00:14
0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",14,0.9118,0:03:54
0x96147f42351988d1:0x3c5c238b02dc5935,"Pucon, Pucón, Araucanía, Chile",11,1.6083,0:08:46
0x8e89998e7a5bd625:0xce0904e0ea8de74b,"Maracaibo, Zulia, Venezuela",10,0.7795,0:04:40
