Fecha,Ciudades,Nombre de la ciudad,Vistas
2025-12-01,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-02,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-03,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-04,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-05,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-06,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-07,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-08,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-09,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-10,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-11,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",14
2025-12-12,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-13,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-14,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-15,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-16,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-17,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-18,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-19,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
2025-12-20,0x8c2a58adcd824807:0x93dd2eae0a998483,"Caracas, Distrito Capital, Venezuela",0
