Género del usuario,Vistas (%),Duración promedio de vistas,Porcentaje promedio reproducido (%),Tiempo de reproducción (horas) (%)
Femenino,23.98,0:02:39,16.58,19.84
Masculino,76.02,0:03:22,20.73,80.16
