Fecha,Vistas
2026-01-01,30
2026-01-02,691
2026-01-03,82
2026-01-04,54
2026-01-05,51
2026-01-06,55
2026-01-07,32
2026-01-08,136
2026-01-09,96
2026-01-10,76
2026-01-11,97
2026-01-12,107
2026-01-13,1607
2026-01-14,429
2026-01-15,1524
2026-01-16,314
2026-01-17,880
2026-01-18,811
2026-01-19,86
2026-01-20,127
2026-01-21,105
2026-01-22,116
2026-01-23,87
2026-01-24,103
2026-01-25,187
2026-01-26,55
2026-01-27,38
2026-01-28,46
2026-01-29,24
2026-01-30,40
2026-01-31,34
