Usuarios nuevos y recurrentes,Impresiones,Tasa de clics de las impresiones (%),Vistas,Tiempo de reproducción (horas),Duración promedio de vistas
Total,119704,2.94,6702,345.2449,0:03:28
Usuarios nuevos,106117,2.68,5118,247.7587,0:03:19
Usuarios recurrentes,13587,4.93,1584,97.4862,0:03:55
